Time	Step	reach_meeting_point
1562456988.699622	0	1.000000
1562456988.699622	0	1.000000
1562456989.245275	1	1.900000
1562456989.245275	1	1.900000
1562456989.710819	2	2.710000
1562456989.710819	2	2.710000
1562456990.200142	3	3.439000
1562456990.200142	3	3.439000
1562456990.766479	4	4.095100
1562456990.766479	4	4.095100
1562456991.232116	5	4.685590
1562456991.232116	5	4.685590
1562456991.763991	6	5.217031
1562456991.763991	6	5.217031
1562456992.297267	7	5.695328
1562456992.297267	7	5.695328
1562456992.669961	8	6.125795
1562456992.669961	8	6.125795
1562456993.166118	9	6.513216
1562456993.166118	9	6.513216
1562456993.681495	10	6.861894
1562456993.681495	10	6.861894
1562456994.197197	11	7.175705
1562456994.197197	11	7.175705
1562456994.701220	12	7.458134
1562456994.701220	12	7.458134
1562456995.180059	13	7.712321
1562456995.180059	13	7.712321
1562456995.724556	14	7.941089
1562456995.724556	14	7.941089
1562456996.201958	15	8.146980
1562456996.201958	15	8.146980
1562456996.732116	16	8.332282
1562456996.732116	16	8.332282
1562456997.214957	17	8.499054
1562456997.214957	17	8.499054
1562456997.717209	18	8.649148
1562456997.717209	18	8.649148
1562456998.227088	19	8.784233
1562456998.227088	19	8.784233
1562456998.769464	20	8.905810
1562456998.769464	20	8.905810
1562456999.250699	21	9.015229
1562456999.250699	21	9.015229
1562456999.765373	22	9.113706
1562456999.765373	22	9.113706
1562457000.258253	23	9.202336
1562457000.258253	23	9.202336
1562457000.775291	24	9.282102
1562457000.775291	24	9.282102
1562457001.277341	25	9.353892
1562457001.277341	25	9.353892
1562457001.803122	26	9.418503
1562457001.803122	26	9.418503
1562457002.298706	27	9.476652
1562457002.298706	27	9.476652
1562457002.827217	28	9.528987
1562457002.827217	28	9.528987
1562457003.307516	29	9.606919
1562457003.307516	29	9.606919
