Time	Step	dispense
1562456988.699365	0	0.000000
1562456988.699365	0	0.000000
1562456989.245120	1	0.000000
1562456989.245120	1	0.000000
1562456989.710655	2	0.117647
1562456989.710655	2	0.117647
1562456990.199968	3	0.247525
1562456990.199968	3	0.247525
1562456990.766202	4	0.370956
1562456990.766202	4	0.370956
1562456991.231957	5	0.483586
1562456991.231957	5	0.483586
1562456991.763699	6	0.584742
1562456991.763699	6	0.584742
1562456992.297075	7	0.683855
1562456992.297075	7	0.683855
1562456992.669808	8	0.837939
1562456992.669808	8	0.837939
1562456993.165964	9	1.019252
1562456993.165964	9	1.019252
1562456993.681339	10	1.212201
1562456993.681339	10	1.212201
1562456994.197042	11	1.407535
1562456994.197042	11	1.407535
1562456994.701014	12	1.599628
1562456994.701014	12	1.599628
1562456995.179905	13	1.785046
1562456995.179905	13	1.785046
1562456995.724397	14	1.961744
1562456995.724397	14	1.961744
1562456996.201806	15	2.128582
1562456996.201806	15	2.128582
1562456996.731960	16	2.285017
1562456996.731960	16	2.285017
1562456997.214803	17	2.430905
1562456997.214803	17	2.430905
1562456997.717054	18	2.566373
1562456997.717054	18	2.566373
1562456998.226932	19	2.691723
1562456998.226932	19	2.691723
1562456998.769184	20	2.807370
1562456998.769184	20	2.807370
1562456999.250542	21	2.913802
1562456999.250542	21	2.913802
1562456999.765221	22	3.011543
1562456999.765221	22	3.011543
1562457000.258076	23	3.101138
1562457000.258076	23	3.101138
1562457000.775134	24	3.183130
1562457000.775134	24	3.183130
1562457001.277182	25	3.259089
1562457001.277182	25	3.259089
1562457001.802966	26	3.933180
1562457001.802966	26	3.933180
1562457002.298548	27	3.539862
1562457002.298548	27	3.539862
1562457002.827060	28	3.548761
1562457002.827060	28	3.548761
1562457003.307360	29	3.163054
1562457003.307360	29	3.163054
