Time	Step	exploration_move
1562541675.502512	0	1.000000
1562541675.502512	0	1.000000
1562541676.219323	1	1.850000
1562541676.219323	1	1.850000
1562541677.206467	2	2.606111
1562541677.206467	2	2.606111
1562541678.199352	3	3.282659
1562541678.199352	3	3.282659
1562541679.246924	4	3.889617
1562541679.246924	4	3.889617
1562541680.232169	5	4.434778
1562541680.232169	5	4.434778
1562541681.238916	6	4.924732
1562541681.238916	6	4.924732
1562541682.223697	7	5.365227
1562541682.223697	7	5.365227
1562541683.241189	8	5.761346
1562541683.241189	8	5.761346
1562541684.243615	9	6.117616
1562541684.243615	9	6.117616
1562541685.241781	10	6.438083
1562541685.241781	10	6.438083
1562541686.253253	11	6.726369
1562541686.253253	11	6.726369
1562541687.268514	12	6.985725
1562541687.268514	12	6.985725
1562541688.298647	13	7.219065
1562541688.298647	13	7.219065
1562541689.299126	14	6.815673
1562541689.299126	14	6.815673
1562541690.236752	15	6.425244
1562541690.236752	15	6.425244
1562541691.226068	16	6.050036
1562541691.226068	16	6.050036
1562541692.248953	17	5.691394
1562541692.248953	17	5.691394
1562541693.251085	18	5.350015
1562541693.251085	18	5.350015
1562541694.245012	19	5.026136
1562541694.245012	19	5.026136
1562541695.256902	20	4.718994
1562541695.256902	20	4.718994
1562541696.298481	21	4.427894
1562541696.298481	21	4.427894
1562541697.285186	22	4.152681
1562541697.285186	22	4.152681
1562541698.284988	23	3.893009
1562541698.284988	23	3.893009
1562541699.303436	24	3.648395
1562541699.303436	24	3.648395
1562541700.305081	25	3.418270
1562541700.305081	25	3.418270
1562541701.329172	26	3.202010
1562541701.329172	26	3.202010
1562541702.328472	27	2.998960
1562541702.328472	27	2.998960
1562541703.307264	28	2.808449
1562541703.307264	28	2.808449
1562541704.312177	29	2.631231
1562541704.312177	29	2.631231
1562541705.354233	30	2.466649
1562541705.354233	30	2.466649
1562541706.333978	31	2.311757
1562541706.333978	31	2.311757
1562541707.333725	32	2.167668
1562541707.333725	32	2.167668
1562541708.346643	33	2.031895
1562541708.346643	33	2.031895
1562541710.346000	34	1.905431
1562541710.346000	34	1.905431
1562541711.364849	35	1.787910
1562541711.364849	35	1.787910
1562541712.374633	36	1.678300
1562541712.374633	36	1.678300
1562541713.366752	37	1.576136
1562541713.366752	37	1.576136
1562541714.371250	38	1.480960
1562541714.371250	38	1.480960
1562541715.372789	39	1.391767
1562541715.372789	39	1.391767
1562541716.387906	40	1.307661
1562541716.387906	40	1.307661
1562541717.409009	41	1.228419
1562541717.409009	41	1.228419
1562541718.390716	42	1.153812
1562541718.390716	42	1.153812
1562541719.399464	43	1.083611
1562541719.399464	43	1.083611
1562541720.413457	44	1.018192
1562541720.413457	44	1.018192
1562541721.433958	45	0.958465
1562541721.433958	45	0.958465
1562541722.481065	46	0.903899
1562541722.481065	46	0.903899
1562541723.418373	47	0.854013
1562541723.418373	47	0.854013
1562541724.453869	48	0.808375
1562541724.453869	48	0.808375
1562541725.720194	49	0.766591
1562541725.720194	49	0.766591
1562541726.470926	50	0.727512
1562541726.470926	50	0.727512
1562541727.440490	51	0.690391
1562541727.440490	51	0.690391
1562541728.451201	52	0.655140
1562541728.451201	52	0.655140
1562541729.456988	53	0.621676
1562541729.456988	53	0.621676
1562541730.483832	54	0.589915
1562541730.483832	54	0.589915
1562541731.444657	55	0.559777
1562541731.444657	55	0.559777
1562541732.614064	56	0.531181
1562541732.614064	56	0.531181
1562541733.468767	57	0.504053
1562541733.468767	57	0.504053
1562541734.511837	58	0.478319
1562541734.511837	58	0.478319
1562541735.510731	59	0.453908
1562541735.510731	59	0.453908
1562541736.512956	60	0.430755
1562541736.512956	60	0.430755
1562541737.536211	61	0.408794
1562541737.536211	61	0.408794
1562541738.516282	62	0.387965
1562541738.516282	62	0.387965
1562541739.512544	63	0.368208
1562541739.512544	63	0.368208
1562541740.516955	64	0.349470
1562541740.516955	64	0.349470
1562541741.505427	65	0.331695
1562541741.505427	65	0.331695
1562541742.532870	66	0.314836
1562541742.532870	66	0.314836
1562541743.515364	67	0.298843
1562541743.515364	67	0.298843
1562541744.536668	68	0.283673
